# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)
0	-0.99223995	9.094947e-09	1.6098056e-09	-0.19	0	0	-2.582755e-17
0	-0.99250245	5.9371814e-09	6.5847416e-10	-0.20000003	0	0	-2.7908697e-17
0	-0.9927511	5.9371814e-09	-1.9645086e-10	-0.21000002	0	0	-2.9990386e-17
0	-0.9929868	6.315531e-09	1.2496457e-09	-0.22000001	0	0	-3.2072598e-17
0	-0.99321055	4.7512003e-09	2.746674e-09	-0.23	0	0	-3.4155283e-17
0	-0.9934228	5.1004463e-09	2.419256e-10	-0.24	0	0	-3.6238412e-17
0	-0.99362504	5.515176e-09	1.3169483e-09	-0.25	0	0	-3.832199e-17
0	-0.99381715	4.7293724e-09	-1.1459633e-10	-0.26	0	0	-4.040597e-17
0	-0.9940004	4.2273314e-09	1.9108484e-09	-0.27	0	0	-4.2490366e-17
0	-0.99417496	4.0236046e-09	7.5033313e-10	-0.28	0	0	-4.4575115e-17
0	-0.9943415	5.2532414e-09	2.0299922e-09	-0.29	0	0	-4.6660216e-17
0	-0.9945006	4.132744e-09	1.029548e-09	-0.29999998	0	0	-4.8745684e-17
0	-0.9946526	3.3323886e-09	3.5743142e-10	-0.30999997	0	0	-5.083146e-17
0	-0.9947978	4.292815e-09	1.4106263e-09	-0.31999996	0	0	-5.2917543e-17
0	-0.99493694	6.162736e-09	7.9671736e-10	-0.33	0	0	-5.5003937e-17
0	-0.9950702	2.9758667e-09	1.3615136e-09	-0.33999994	0	0	-5.70906e-17
0	-0.99519795	3.1141099e-09	9.067662e-10	-0.34999993	0	0	-5.917755e-17
0	-0.9953205	2.0881998e-09	8.931238e-10	-0.36	0	0	-6.126478e-17
0	-0.99543804	4.3728505e-09	-8.6402e-11	-0.37	0	0	-6.335223e-17
0	-0.9955509	3.4851837e-09	8.4673957e-10	-0.38	0	0	-6.543993e-17
0	-0.99565935	1.5861588e-09	3.9744918e-10	-0.39	0	0	-6.752786e-17
0	-0.9957636	3.4051482e-09	7.885319e-10	-0.40000007	0	0	-6.9616037e-17
0	-0.995864	3.921741e-09	5.6024874e-10	-0.41000006	0	0	-7.170441e-17
0	-0.9959605	6.017217e-09	-7.557901e-10	-0.42000005	0	0	-7.379298e-17
0	-0.99605346	5.122274e-09	-2.4556357e-10	-0.43000004	0	0	-7.5881764e-17
0	-0.9961432	2.1827873e-09	-1.0686563e-09	-0.44000003	0	0	-7.7970726e-17
0	-0.99622965	1.9135769e-09	-1.8098945e-10	-0.45000002	0	0	-8.005989e-17
0	-0.9963129	4.321919e-09	2.8776412e-09	-0.46	0	0	-8.2149226e-17
0	-0.99639344	2.3283064e-10	2.0299922e-09	-0.47	0	0	-8.423874e-17
0	-0.9964711	2.582965e-09	3.6470738e-10	-0.48	0	0	-8.63284e-17
0	-0.99654615	3.0486262e-09	6.530172e-10	-0.49	0	0	-8.841823e-17
0	-0.99654627	2.6266207e-09	5.5933924e-10	-0.49	0	0	-8.841823e-17
0	-0.9964713	2.3646862e-09	9.986252e-10	-0.48	0	0	-8.63284e-17
0	-0.9963936	1.4260877e-09	4.28372e-10	-0.47	0	0	-8.423872e-17
0	-0.99631315	4.0308805e-09	2.1027518e-09	-0.46	0	0	-8.2149226e-17
0	-0.9962298	1.542503e-09	1.6425474e-09	-0.45000002	0	0	-8.005989e-17
0	-0.99614334	2.1100277e-09	-1.6543709e-09	-0.44000003	0	0	-7.7970726e-17
0	-0.9960537	2.8448994e-09	1.4897523e-09	-0.43000004	0	0	-7.5881764e-17
0	-0.99596065	4.2491592e-09	1.1368684e-09	-0.42000005	0	0	-7.379298e-17
0	-0.9958641	1.4115358e-09	7.2577677e-10	-0.41000006	0	0	-7.1704416e-17
0	-0.9957638	1.891749e-09	3.6743586e-10	-0.40000007	0	0	-6.9616037e-17
0	-0.99565953	4.300091e-09	1.9190338e-10	-0.39	0	0	-6.752787e-17
0	-0.9955511	2.6702764e-09	4.5019988e-10	-0.38	0	0	-6.543993e-17
0	-0.9954381	2.3646862e-09	-2.3646862e-10	-0.37	0	0	-6.3352234e-17
0	-0.9953206	4.10364e-09	1.4724719e-09	-0.36	0	0	-6.126478e-17
0	-0.9951981	2.73576e-09	-6.639311e-11	-0.34999993	0	0	-5.917755e-17
0	-0.99507046	3.1213858e-09	9.777068e-10	-0.33999994	0	0	-5.7090616e-17
0	-0.9949372	4.44561e-09	1.4779289e-09	-0.33	0	0	-5.5003927e-17
0	-0.9947981	4.671165e-09	7.848939e-10	-0.31999996	0	0	-5.291754e-17
0	-0.99465275	5.2386895e-09	6.4392225e-10	-0.30999997	0	0	-5.083145e-17
0	-0.9945008	4.4019544e-09	1.0250005e-09	-0.29999998	0	0	-4.8745677e-17
0	-0.9943418	5.122274e-09	1.639819e-09	-0.29	0	0	-4.6660223e-17
0	-0.9941752	5.2314135e-09	8.931238e-10	-0.28	0	0	-4.4575112e-17
0	-0.9940007	4.0672603e-09	9.622454e-10	-0.27	0	0	-4.2490356e-17
0	-0.99381757	4.132744e-09	-3.101377e-10	-0.26	0	0	-4.040597e-17
0	-0.99362516	3.252353e-09	6.1299943e-10	-0.25	0	0	-3.8321984e-17
0	-0.99342334	2.5538611e-09	2.6739144e-10	-0.24	0	0	-3.6238415e-17
0	-0.9932108	4.0017767e-09	2.0190782e-10	-0.23	0	0	-3.415528e-17
0	-0.9929872	6.679329e-09	2.217348e-09	-0.22000001	0	0	-3.207259e-17
0	-0.9927514	4.5547495e-09	1.9645086e-09	-0.21000002	0	0	-2.999039e-17
0	-0.9925028	4.831236e-09	9.440555e-10	-0.20000003	0	0	-2.7908703e-17
0	-0.9922404	6.8248482e-09	8.8039087e-10	-0.19	0	0	-2.5827552e-17
0	-0.9919629	5.7334546e-09	1.6607373e-09	-0.18	0	0	-2.3746957e-17
0	-0.99166936	7.3196134e-09	6.0936145e-10	-0.16999997	0	0	-2.1666962e-17
0	-0.99135834	6.1409082e-09	3.45608e-10	-0.15999998	0	0	-1.9587607e-17
0	-0.9910285	5.3696567e-09	2.4811015e-09	-0.14999999	0	0	-1.7508922e-17
0	-0.9906783	6.7957444e-09	8.6401997e-10	-0.14	0	0	-1.5430948e-17
0	-0.990306	9.487849e-09	4.129106e-10	-0.13	0	0	-1.3353733e-17
0	-0.9899099	7.203198e-09	1.3878889e-09	-0.12	0	0	-1.12773164e-17
0	-0.9894877	8.629286e-09	4.1472958e-10	-0.11000001	0	0	-9.201772e-18
0	-0.9890373	9.735231e-09	2.8248905e-09	-0.10000002	0	0	-7.127133e-18
0	-0.9885559	1.0666554e-08	2.590241e-09	-0.09	0	0	-5.053466e-18
0	-0.9880409	1.3096724e-08	1.0131771e-09	-0.07999999	0	0	-2.9808523e-18
0	-0.9874893	1.48575054e-08	7.9853635e-10	-0.07	0	0	-9.093551e-19
0	-0.98689747	1.6196282e-08	1.7989805e-09	-0.06	0	0	1.1609496e-18
0	-0.98626184	2.1973392e-08	1.9463187e-09	-0.05000001	0	0	3.229959e-18
0	-0.985578	2.2526365e-08	1.8153514e-09	-0.039999995	0	0	5.2975976e-18
0	-0.98484135	3.3032848e-08	1.7480488e-09	-0.03	0	0	7.363733e-18
0	-0.98404634	3.6132406e-08	2.3119355e-09	-0.019999998	0	0	9.428272e-18
0	-0.9831877	6.1510946e-08	2.0263542e-09	-0.009999999	0	0	1.1491077e-17
0	-0.9822587	9.244832e-08	2.040906e-09	3.0878078e-16	0	0	1.3552009e-17
0	-0.9812517	1.3734098e-07	3.108653e-09	0.009999999	0	0	1.5610907e-17
0	-0.9801594	2.2628228e-07	2.1082087e-09	0.019999998	0	0	1.766761e-17
0	-0.9789726	4.2803003e-07	4.474714e-10	0.03	0	0	1.9721928e-17
0	-0.977681	9.733485e-07	2.557499e-09	0.039999995	0	0	2.1773642e-17
0	-0.9762731	2.3743196e-06	2.3228495e-09	0.05000001	0	0	2.3822535e-17
0	-0.9747366	7.518538e-06	2.7757778e-09	0.06	0	0	2.5868335e-17
0	-0.86748505	-0.2668198	3.9872248e-09	0.07	0	0	2.709328e-17
0	-0.8444085	-0.2938867	1.9936124e-09	0.07999999	0	0	2.888894e-17
0	-0.81730956	-0.32387617	2.0081643e-09	0.09	0	0	3.063211e-17
0	-0.78493774	-0.3580621	1.8626451e-09	0.10000002	0	0	3.2313195e-17
0	-0.74492216	-0.39894047	3.783498e-10	0.11000001	0	0	3.3918945e-17
0	-0.6912997	-0.45264682	1.3969839e-09	0.12	0	0	3.5428232e-17
0	0.9903057	-9.329262e-06	-2.1482265e-09	0.13	0	0	-1.33537275e-17
0	0.9906778	-2.5592599e-06	-1.6643753e-09	0.14	0	0	-1.5430957e-17
0	0.9910279	-6.076152e-07	-1.8189894e-10	0.14999999	0	0	-1.7508925e-17
0	0.9913578	-1.5215483e-07	-1.7844286e-09	0.15999998	0	0	-1.9587609e-17
0	0.99166876	-4.0599843e-08	-9.240466e-10	0.16999997	0	0	-2.1666964e-17
0	0.9919625	-9.895302e-09	-8.6947693e-10	0.18	0	0	-2.3746959e-17
0	0.9922399	-8.192728e-09	-1.1896191e-09	0.19	0	0	-2.5827545e-17
0	0.99250245	-5.5733835e-09	-7.403287e-10	0.20000003	0	0	-2.7908703e-17
0	0.9927511	-5.9371814e-09	9.131327e-10	0.21000002	0	0	-2.9990386e-17
0	0.99298674	-6.170012e-09	-1.6880222e-09	0.22000001	0	0	-3.2072598e-17
0	0.9932105	-5.5079e-09	-1.0677468e-09	0.23	0	0	-3.415528e-17
0	0.9934228	-5.0204108e-09	-9.222276e-10	0.24	0	0	-3.6238412e-17
0	0.99362504	-5.158654e-09	-1.6971171e-09	0.25	0	0	-3.832199e-17
0	0.99381715	-4.3437467e-09	-4.3837645e-10	0.26	0	0	-4.0405973e-17
0	0.9940004	-5.2241376e-09	-2.21371e-09	0.27	0	0	-4.2490362e-17
0	0.99417496	-4.671165e-09	-1.2951205e-09	0.28	0	0	-4.4575112e-17
0	0.9943415	-6.5774657e-09	-2.2573658e-09	0.29	0	0	-4.6660216e-17
0	0.9945006	-3.5433914e-09	-5.7389116e-10	0.29999998	0	0	-4.874568e-17
0	0.9946526	-3.8562575e-09	-7.3214323e-10	0.30999997	0	0	-5.083146e-17
0	0.9947978	-4.321919e-09	-1.4833859e-09	0.31999996	0	0	-5.2917543e-17
0	0.99493694	-4.2346073e-09	-9.767973e-10	0.33	0	0	-5.5003937e-17
0	0.9950702	-2.3064786e-09	-1.2578312e-09	0.33999994	0	0	-5.709061e-17
0	0.99519795	-3.441528e-09	-3.0340743e-09	0.34999993	0	0	-5.917755e-17
0	0.9953205	-3.3323886e-09	-1.3533281e-09	0.36	0	0	-6.1264775e-17
0	0.99543804	-4.8530637e-09	-6.730261e-11	0.37	0	0	-6.335222e-17
